"","Treat","Year","NMDS1.x","NMDS2.x","NMDS3.x","NMDS1.y","NMDS2.y","NMDS3.y"
"1","C->R->P","2017",-0.146080048742639,0.148831055323104,-0.13665880847212,0.0916153024662805,0.0863579602409825,0.100281778051622
"2","C->R->P","2018",0.248772450118634,-0.202890275665674,0.369949016710909,0.0974408743502575,0.0724195953335799,0.071643031934078
"3","C->R->P","2019",0.108214341623944,-0.148995656851823,-0.127175944330685,0.146513482020102,0.137480343188867,0.0607594924481877
"4","Control","2017",-0.338261372937578,0.193299132723625,-0.214846692723717,0.0701822717617156,0.0900109309445218,0.0777052998211329
"5","Control","2018",0.397551078985069,-0.027092760142434,0.265049025774496,0.0768752287259391,0.0905400881828526,0.0626686011545982
"6","Control","2019",0.046870066849465,-0.187638299161664,-0.243628264926066,0.098859685778746,0.107274654914275,0.0887229885624882
"7","CR->P","2017",-0.35953363068543,0.231507276496483,-0.0358391585726129,0.0626488129266197,0.0696034459853687,0.0434279681886835
"8","CR->P","2018",0.12648233232735,-0.0739524308578423,0.33499504416275,0.0839064871541337,0.0814670908829617,0.0796050148028441
"9","CR->P","2019",-0.184522703166494,-0.209206235441144,-0.0984214171409619,0.117357062778583,0.113388142828167,0.0555243655568397
"10","CRP","2017",-0.276338721947006,0.298701644698191,-0.103494861835319,0.0750807878503508,0.0881865411978999,0.107546197389334
"11","CRP","2018",0.327678634445279,0.0253636617358841,0.258273006716994,0.104136688999635,0.098974789106339,0.083029291447808
"12","CRP","2019",0.0491675731294062,-0.0479271128567072,-0.268200945363667,0.106789937374155,0.114430588792804,0.0792373336189277
